interval,split_count,epochs_count,batch,lstm1_units,lstm2_units,val_loss
70,3,10,64,75,84,0.5876411199569702
71,3,10,64,96,96,0.5588847200075785
72,3,10,64,83,97,0.5726604262987772
73,3,9,64,85,103,0.6044815977414449
73,3,10,64,87,97,0.6151164770126343
72,3,10,64,82,100,0.5558398962020874
71,3,10,64,94,102,0.5880033175150553
72,4,10,64,82,100,0.6000540480017662
71,3,10,64,90,105,0.592683752377828
72,3,10,64,84,98,0.5948171814282736
71,3,10,64,88,97,0.5879177252451578
74,3,10,64,81,104,0.5750794013341268
72,3,6,64,113,101,0.5980995496114095
69,4,10,64,80,96,0.6387716680765152
52,3,10,64,83,99,0.6304895877838135
71,3,8,64,147,94,0.5768759846687317
72,3,10,32,19,107,0.5999931693077087
70,3,10,64,108,102,0.5906428297360738
69,3,10,64,78,92,0.575690488020579
71,3,10,32,98,96,0.571009079615275
70,3,10,32,96,99,0.5901074806849161
72,3,10,32,76,38,0.5689290364583334
73,3,10,32,100,40,0.5820480386416117
72,3,10,32,111,32,0.5867741107940674
74,3,10,32,102,76,0.6271208922068278
71,3,10,32,77,21,0.5836007992426554
72,4,10,32,121,36,0.6491706296801567
73,3,10,32,80,28,0.5880813399950663
60,3,10,32,75,95,0.6071144541104635
51,3,10,32,5,37,0.6171353061993917
71,8,10,32,86,97,0.6928884163498878
69,3,10,32,80,26,0.5658317804336548
66,3,10,32,78,23,0.5916094183921814
69,3,10,32,75,33,0.5990283886591593
68,3,9,32,80,16,0.5598415732383728
67,4,9,32,97,6,0.5997443497180939
68,3,9,32,80,69,0.5685814619064331
68,3,9,32,81,20,0.5692955056826273
68,3,9,32,94,16,0.5784772634506226
68,3,9,32,104,50,0.5870174765586853
69,3,9,32,81,73,0.5724841753641764
67,7,9,32,86,21,0.6697655490466526
68,3,9,32,80,20,0.5664800504843394
68,3,9,32,81,19,0.5727826754252116
68,3,9,32,80,17,0.5779452721277872
69,3,9,32,83,15,0.5753704110781351
69,3,9,32,79,18,0.5701723297437032
67,3,9,32,85,13,0.5653195381164551
67,3,9,32,88,11,0.57969597975413
67,3,9,32,83,12,0.5875292420387268
66,3,9,32,85,24,0.5676993529001871
66,3,9,32,86,24,0.5806329051653544
66,3,9,32,92,13,0.5936916669209799
67,3,9,32,85,15,0.5766612490018209
68,3,9,32,89,25,0.5643730759620667
68,5,9,32,89,25,0.5727033495903016
66,3,9,32,91,28,0.5827442010243734
68,3,9,32,88,22,0.5795637369155884
67,3,9,32,84,24,0.5890388290087382
69,3,9,32,86,8,0.5866384506225586
68,3,9,32,84,21,0.5693569580713908
69,3,9,32,82,10,0.5711432298024496
68,3,9,32,93,14,0.5964012543360392
46,3,9,32,90,28,0.6059119502703348
67,3,9,32,79,20,0.5947689811388651
69,3,9,32,82,14,0.5876158475875854
68,4,9,32,87,18,0.5859042406082153
52,3,9,32,79,24,0.5875980655352274
69,3,9,32,85,17,0.5882237752278646
66,3,9,32,78,27,0.567672441403071
66,3,9,32,81,29,0.5779939492543539
66,3,9,32,78,24,0.5645874540011088
65,3,9,32,84,28,0.6138944228490194
65,3,9,32,78,26,0.5764475067456564
64,3,9,32,88,25,0.5811561743418375
66,3,9,32,82,23,0.5714120467503866
66,4,9,32,77,26,0.5841793864965439
67,3,9,32,80,18,0.5749800205230713
67,3,9,32,73,24,0.590180774529775
64,3,1,32,84,31,0.6069058179855347
65,3,9,32,90,20,0.5627267360687256
65,3,9,32,91,21,0.5816002488136292
66,3,9,32,93,20,0.5935439268747965
67,3,8,32,85,26,0.5833687980969747
65,4,9,32,95,19,0.6079963445663452
66,5,9,32,87,22,0.6610106945037841
67,3,9,32,90,14,0.5830188592274984
63,3,3,32,89,28,0.6060932477315267
66,3,9,32,82,16,0.5852364301681519
53,3,9,32,78,110,0.5853179693222046
65,3,8,32,86,31,0.5788991649945577
66,3,9,32,80,11,0.5983778834342957
67,3,9,32,76,22,0.5765706300735474
68,3,9,32,83,27,0.5897208253542582
67,3,9,16,81,114,0.612150231997172
68,3,9,32,89,19,0.5834087133407593
66,4,8,32,95,23,0.5740383267402649
52,9,9,32,77,17,0.6486452288097806
